current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
1,1,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,20,1
1,47,7,1,1,2,1,1,0,0,0,0,2,0,0,0,5,0,40,9,0
0,46,6,1,1,2,1,4,1,2,1,0,1,0,1,0,0,0,49,27,0
1,47,7,1,0,2,0,6,0,1,1,0,0,1,0,1,1,0,34,24,0
0,8,6,2,2,2,1,8,2,2,2,1,0,1,0,0,0,0,38,35,0
1,65,6,0,0,1,1,5,1,0,2,1,0,0,0,2,2,0,37,46,1
0,118,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,28,5,0
1,29,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,37,35,0
1,29,5,2,1,2,0,7,1,2,2,0,1,0,0,0,0,0,37,26,1
1,27,6,2,2,2,1,7,2,2,2,1,0,0,2,0,0,2,47,44,1
1,7,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,45,29,1
1,25,8,1,2,2,1,7,1,2,2,1,0,1,0,0,1,0,47,33,0
0,10,7,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,36,36,1
0,12,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,33,38,1
0,40,7,0,2,1,1,6,2,0,1,1,0,0,0,0,0,0,32,33,1
1,73,5,0,0,0,1,3,0,0,0,1,1,0,3,0,3,0,26,20,1
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,26,29,0
0,4,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,32,1
1,15,8,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,43,37,0
0,10,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,37,31,0
0,10,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,44,33,1
1,61,7,0,0,1,1,4,1,0,1,0,1,0,2,0,2,0,32,22,0
